init_node,term_node,capacity,length,free_flow_time,b,power,simu_g/c,gamma,n',neta,no_signal,accurate_g/c
23,10,17321,2.32988,2.32988,0.15,4,1,0.8,3.2,1,1,
23,18,5794,2.33986,2.33986,0.15,4,0.333333333,0.8,3.2,1,,
23,27,20372,2.83914,2.83914,0.15,4,1,0.8,3.2,1,1,
24,20,2963,0.92195,0.92195,0.15,4,0.333333333,0.8,3.2,1,,
24,25,3071,0.97597,0.97597,0.15,4,0.333333333,0.8,3.2,1,,
24,118,1559,0.21872,0.21872,0.15,4,0.333333333,0.8,3.2,1,,
25,22,2293,0.96951,0.96951,0.15,4,0.25,0.8,3.2,1,,
25,24,2305,0.97742,0.97742,0.15,4,0.25,0.8,3.2,1,,
25,26,1640,0.53313,0.53313,0.15,4,0.25,0.8,3.2,1,,
25,118,2253,0.94275,0.94275,0.15,4,0.25,0.8,3.2,1,,
26,25,3279,0.53313,0.53313,0.15,4,0.5,0.8,3.2,1,,
26,27,6218,1.51442,1.51442,0.15,4,0.5,0.8,3.2,1,,
27,23,20372,2.83914,2.83914,0.15,4,1,0.8,3.2,1,1,
27,26,6218,1.51442,1.51442,0.15,4,0.5,0.8,3.2,1,,
28,17,3508,1.1952,1.1952,0.15,4,0.333333333,0.8,3.2,1,,
28,29,1563,0.22094,0.22094,0.15,4,0.333333333,0.8,3.2,1,,
28,107,5601,2.24326,2.24326,0.15,4,0.333333333,0.8,3.2,1,,
29,14,2321,0.60043,0.60043,0.15,4,0.333333333,0.8,3.2,1,,
29,28,1563,0.22094,0.22094,0.15,4,0.333333333,0.8,3.2,1,,
29,30,3003,0.94213,0.94213,0.15,4,0.333333333,0.8,3.2,1,,
30,12,3218,1.04992,1.04992,0.15,4,0.333333333,0.8,3.2,1,,
30,29,3003,0.94213,0.94213,0.15,4,0.333333333,0.8,3.2,1,,
30,31,3498,1.19006,1.19006,0.15,4,0.333333333,0.8,3.2,1,,
31,30,2624,1.19006,1.19006,0.15,4,0.25,0.8,3.2,1,,
31,32,3158,1.54712,1.54712,0.15,4,0.25,0.8,3.2,1,,
31,33,5259,2.94999,2.94999,0.15,4,0.25,0.8,3.2,1,,
31,107,6322,3.6593,3.6593,0.15,4,0.25,0.8,3.2,1,,
32,7,3874,2.02479,2.02479,0.15,4,0.25,0.8,3.2,1,,
32,31,3158,1.54712,1.54712,0.15,4,0.25,0.8,3.2,1,,
32,34,6065,3.48812,3.48812,0.15,4,0.25,0.8,3.2,1,,
32,35,2348,1.00627,1.00627,0.15,4,0.25,0.8,3.2,1,,
33,31,5259,2.94999,2.94999,0.15,4,0.25,0.8,3.2,1,,
33,34,1669,0.55252,0.55252,0.15,4,0.25,0.8,3.2,1,,
33,81,2132,0.86146,0.86146,0.15,4,0.25,0.8,3.2,1,,
33,105,3143,1.53703,1.53703,0.15,4,0.25,0.8,3.2,1,,
34,32,6065,3.48812,3.48812,0.15,4,0.25,0.8,3.2,1,,
34,33,1669,0.55252,0.55252,0.15,4,0.25,0.8,3.2,1,,
34,37,2140,0.86727,0.86727,0.15,4,0.25,0.8,3.2,1,,
34,81,1727,0.59115,0.59115,0.15,4,0.25,0.8,3.2,1,,
35,1,4073,2.15784,2.15784,0.15,4,0.25,0.8,3.2,1,,
35,32,2348,1.00627,1.00627,0.15,4,0.25,0.8,3.2,1,,
35,36,4915,2.72034,2.72034,0.15,4,0.25,0.8,3.2,1,,
35,39,6166,3.55514,3.55514,0.15,4,0.25,0.8,3.2,1,,
36,35,6554,2.72034,2.72034,0.15,4,0.333333333,0.8,3.2,1,,
36,37,3818,1.35006,1.35006,0.15,4,0.333333333,0.8,3.2,1,,
36,38,2648,0.76453,0.76453,0.15,4,0.333333333,0.8,3.2,1,,
37,34,2140,0.86727,0.86727,0.15,4,0.25,0.8,3.2,1,,
37,36,2863,1.35006,1.35006,0.15,4,0.25,0.8,3.2,1,,
37,38,2311,0.98104,0.98104,0.15,4,0.25,0.8,3.2,1,,
37,86,1839,0.66624,0.66624,0.15,4,0.25,0.8,3.2,1,,
38,36,1986,0.76453,0.76453,0.15,4,0.25,0.8,3.2,1,,
